"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","lifeStage","taxonKey","kingdomKey","phylumKey","classKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","license","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","class","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","http...unknown.org.nick","verbatimEventDate","dynamicProperties","collectionCode","verbatimLocality","gbifID","occurrenceID","taxonID","catalogNumber","institutionCode","vitality","eventTime","http...unknown.org.captive","identificationID","name","networkKeys","higherGeography","institutionKey","preparations","county","locality","fieldNumber","occurrenceRemarks"
"2856664514","Lampropeltis webbi Bryson, Dixon & Lazcano, 2005",23.610657,-105.842093,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","MX","DWC_ARCHIVE","2025-03-04T19:59:57.055+00:00","2025-03-07T17:47:37.960+00:00",521,"HUMAN_OBSERVATION","PRESENT","Adult",5224470,1,44,11592253,6172,9391215,5224470,5224470,"Lampropeltis webbi Bryson, Dixon & Lazcano, 2005","Animalia","Chordata","Colubridae","Lampropeltis","Lampropeltis webbi","Lampropeltis","webbi","SPECIES","ACCEPTED","DD","2020-08-27T23:00:58",10000,"NORTH_AMERICA","Durango",2005,8,20,"2005-08-20T13:17",232,232,"2022-12-27T04:27:32.000+00:00","2025-03-07T17:47:37.960+00:00","https://www.inaturalist.org/observations/57781971","http://creativecommons.org/publicdomain/zero/1.0/legalcode",FALSE,"57781971","none","none",FALSE,"iNaturalist research-grade observations","Chris Gruenwald Herp.mx","Chris Gruenwald Herp.mx","WGS84","Squamata","MX","none","none","LATIN_AMERICA","Mexico","LATIN_AMERICA","Chris Gruenwald Herp.mx","57781971","sonoran","2005/08/20 1:17 PM CDT","{""evidenceOfPresence"":""organism""}","Observations","San Dimas Municipality, Durango, Mexico","2856664514","https://www.inaturalist.org/observations/57781971","73843","57781971","iNaturalist","dead","13:17:00-05:00","wild","126557257","Lampropeltis webbi Bryson, Dixon & Lazcano, 2005",NA,NA,NA,NA,NA,NA,NA,NA
"2819899510","Lampropeltis webbi Bryson, Dixon & Lazcano, 2005",23.584873,-105.837652,"gass84,incomis,inmafu","852628c6-f762-11e1-a439-00145eb45e9a","3c6ad080-bdbe-11da-ac59-b8a03c50a862","db7e3f20-3966-4c50-b747-4dfc7b3d3874","3c6ad080-bdbe-11da-ac59-b8a03c50a862","US","EML","2025-03-01T18:01:31.828+00:00","2025-03-01T18:02:54.293+00:00",358,"PRESERVED_SPECIMEN","PRESENT",NA,5224470,1,44,11592253,6172,9391215,5224470,5224470,"Lampropeltis webbi Bryson, Dixon & Lazcano, 2005","Animalia","Chordata","Colubridae","Lampropeltis","Lampropeltis webbi","Lampropeltis","webbi","SPECIES","ACCEPTED","DD",NA,NA,"NORTH_AMERICA","Sinaloa",2005,10,1,"2005-10-01",274,274,NA,"2025-03-01T18:02:54.293+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",FALSE,"368e23cb-9c00-4dd2-9298-0ae0dbed21f6","none","none",FALSE,NA,"Jason Jones|Christopher Grunwald","Hansen, Robert","WGS84","Squamata","MX","none","none","LATIN_AMERICA","Mexico","NORTH_AMERICA",NA,"368e23cb-9c00-4dd2-9298-0ae0dbed21f6",NA,NA,NA,"Herpetology Collection",NA,"2819899510","368e23cb-9c00-4dd2-9298-0ae0dbed21f6",NA,"101906","TNHC",NA,NA,NA,NA,"Lampropeltis webbi Bryson, Dixon & Lazcano, 2005","8e30b684-6a54-4aba-aa73-66201c2c736e,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e","Mexico, Sinaloa, Concordia","c8e1cb04-01ef-4804-a716-11ef204cf41b","Photo voucher","Concordia","Hwy 40, Durango/Sinaloa border, 3.1 rd mi E El Palmito","101906","Photo stored in UTBox | Photographed by RWH July 2006. Although photo file name indicates this specimen was obtained in Durango, the GPS coordinates place this in Sinaloa"
"2856723474","Lampropeltis webbi Bryson, Dixon & Lazcano, 2005",23.62986,-105.838133,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","MX","DWC_ARCHIVE","2025-03-04T19:59:57.055+00:00","2025-03-07T12:36:43.109+00:00",521,"HUMAN_OBSERVATION","PRESENT","Adult",5224470,1,44,11592253,6172,9391215,5224470,5224470,"Lampropeltis webbi Bryson, Dixon & Lazcano, 2005","Animalia","Chordata","Colubridae","Lampropeltis","Lampropeltis webbi","Lampropeltis","webbi","SPECIES","ACCEPTED","DD","2020-08-27T22:54:09",10000,"NORTH_AMERICA","Durango",2005,10,3,"2005-10-03T13:43",276,276,"2024-11-02T05:49:06.000+00:00","2025-03-07T12:36:43.109+00:00","https://www.inaturalist.org/observations/57781477","http://creativecommons.org/publicdomain/zero/1.0/legalcode",FALSE,"57781477","none","none",FALSE,"iNaturalist research-grade observations","Chris Gruenwald Herp.mx","Chris Gruenwald Herp.mx","WGS84","Squamata","MX","none","none","LATIN_AMERICA","Mexico","LATIN_AMERICA","Chris Gruenwald Herp.mx","57781477","sonoran","2005/10/03 1:43 PM CDT","{""evidenceOfPresence"":""organism""}","Observations","San Dimas Municipality, Durango, Mexico","2856723474","https://www.inaturalist.org/observations/57781477","73843","57781477","iNaturalist","alive","13:43:00-05:00","wild","126556166","Lampropeltis webbi Bryson, Dixon & Lazcano, 2005",NA,NA,NA,NA,NA,NA,NA,NA
"3912433637","Lampropeltis webbi Bryson, Dixon & Lazcano, 2005",23.649935,-105.78763,"cdc,cdround","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","28eb1a3f-1c15-4a95-931a-4af90ecb574d","MX","DWC_ARCHIVE","2025-03-04T19:59:57.055+00:00","2025-03-07T13:58:06.898+00:00",521,"HUMAN_OBSERVATION","PRESENT",NA,5224470,1,44,11592253,6172,9391215,5224470,5224470,"Lampropeltis webbi Bryson, Dixon & Lazcano, 2005","Animalia","Chordata","Colubridae","Lampropeltis","Lampropeltis webbi","Lampropeltis","webbi","SPECIES","ACCEPTED","DD","2022-09-17T19:55:11",30,"NORTH_AMERICA","Durango",2022,9,6,"2022-09-06T03:05:55",249,249,"2024-06-19T17:07:33.000+00:00","2025-03-07T13:58:06.898+00:00","https://www.inaturalist.org/observations/135421702","http://creativecommons.org/publicdomain/zero/1.0/legalcode",FALSE,"135421702","none","none",FALSE,"iNaturalist research-grade observations","Chris Gruenwald Herp.mx","Chris Gruenwald Herp.mx","WGS84","Squamata","MX","none","none","LATIN_AMERICA","Mexico","LATIN_AMERICA","Chris Gruenwald Herp.mx","135421702","sonoran","2022-09-06 02:05:55-06:00",NA,"Observations","El Salto-Villa Unión, Pueblo Nuevo, Durango, MX","3912433637","https://www.inaturalist.org/observations/135421702","73843","135421702","iNaturalist",NA,"03:05:55-05:00","wild","298318444","Lampropeltis webbi Bryson, Dixon & Lazcano, 2005",NA,NA,NA,NA,NA,NA,NA,NA
