"Tipo de contacto","Fecha hora contacto","Coorde.nadaX","coorden.adaY"
"Captura",2009-06-02,454945,3098394
"Recogida",2009-06-02,455568,3098277
"Recogida",2009-06-03,454900,3098009
"Recogida",2009-06-04,454243,3098198
"Recogida",2009-06-04,454902,3098319
"Captura",2009-06-05,454540,3098318
"Recogida",2009-06-05,454888,3098276
"Recogida",2009-06-05,454911,3098315
"Recogida",2009-06-05,454899,3098333
"Recogida",2009-06-05,454878,3098341
"Captura",2009-06-05,454900,3098009
"Recogida",2009-06-05,454638,3098274
"Captura",2009-06-05,454760,3098353
"Recogida",2009-06-06,455210,3098410
"Recogida",2009-06-07,454664,3098487
"Captura",2009-06-08,454573,3098091
"Recogida",2009-06-10,455521,3098183
"Recogida",2009-06-10,454665,3098465
"Recogida",2009-06-12,455152,3098414
"Captura",2009-06-12,454658,3098046
"Recogida",2009-06-12,455186.01,3098172
"Recogida",2009-06-12,451563,3096750
"Captura",2009-06-12,454921,3098342
"Recogida",2009-06-13,447563,3101512
"Recogida",2009-06-13,455174,3098175
"Recogida",2009-06-13,455171,3098175
"Recogida",2009-06-13,455172,3098174
"Captura",2009-06-13,455369,3098180
"Recogida",2009-06-14,455185,3098176
"Recogida",2009-06-14,455168,3098426
"Captura",2009-06-16,454673,3098295
"Captura",2009-06-16,454670,3098268
"Captura",2009-06-16,455330,3098418
"Captura",2009-06-16,455445,3098383.01
"Captura",2009-06-20,454997,3098032
"Recogida",2009-06-21,455056,3098262
"Recogida",2009-06-22,455052,3098251.01
"Recogida",2009-06-24,454326,3094745
"Recogida",2009-06-26,432854,3110903
"Recogida",2009-06-26,454884,3098310.01
"Recogida",2009-06-27,454990,3098295
"Recogida",2009-06-28,455148,3098177
"Recogida",2009-06-29,455077,3098177
"Recogida",2009-06-29,455148,3098185
"Recogida",2009-06-29,455163,3098418
"Recogida",2009-06-29,454735,3098316
"Recogida",2009-07-01,455478,3098213
"Recogida",2009-07-01,432178,3110542
"Recogida",2009-07-02,433383.01,3110703
"Recogida",2009-07-03,455530,3098297
"Recogida",2009-07-03,455553,3098297
"Recogida",2009-07-03,455505,3098192
"Recogida",2009-07-03,455021,3098256
"Recogida",2009-07-03,454588,3098039.01
"Recogida",2009-07-09,454598,3098298
"Recogida",2009-07-11,455054,3098237
"Recogida",2009-07-12,455159,3098399
"Recogida",2009-07-14,452095,3100256
"Recogida",2009-07-15,455342,3098205
"Recogida",2009-07-16,454803.01,3097963
"Recogida",2009-07-16,454901,3098304
"Recogida",2009-07-16,454213,3098261
"Captura",2009-07-20,454741,3097989
"Captura",2009-07-20,455212,3098778
"Recogida",2009-07-21,459097,3096986
"Recogida",2009-07-23,455170,3098415
"Recogida",2009-07-27,454445,3098409
"Recogida",2009-07-27,455352,3098202
"Captura",2009-08-05,455458,3098257
"Recogida",2009-08-06,452867,3100312
"Recogida",2009-08-10,454730,3098298
"Recogida",2009-08-10,455189,3098378
"Recogida",2009-08-10,455189,3098378
"Recogida",2009-08-12,455066,3098232
"Captura",2009-08-19,455211,3098162
"Captura",2009-08-19,457613,3098285
"Recogida",2009-08-21,455218,3096087
"Recogida",2009-08-23,455301,3098175
"Recogida",2009-08-25,454586,3098043
"Recogida",2009-08-31,457973,3098718
"Recogida",2009-09-10,455432,3098213
"Captura",2009-09-14,455453,3098372
"Recogida",2009-09-26,455471,3098226
"Recogida",2009-09-27,454892,3098226.01
"Recogida",2009-09-28,454749,3097976
"Captura",2009-09-30,454845,3097835
"Recogida",2009-10-02,435034,3112177
"Recogida",2009-10-16,440586,3072023
"Recogida",2009-10-18,455223,3098182
"Recogida",2009-10-18,454880,3097938
"Captura",2009-10-25,455223,3098182
"Captura",2009-10-28,455265,3098197
"Recogida",2009-10-28,442909,3071486
"Captura",2009-11-12,455229,3098098
"Recogida",2009-11-23,454653,3098333
"Recogida",2010-02-02,455340,3098432.01
"Recogida",2010-02-04,455335,3098182
"Recogida",2010-02-17,432949,3110870
"Recogida",2010-02-25,457683,3098282
"Recogida",2010-03-01,454271,3098111
"Recogida",2010-03-02,455398,3098381.99
"Recogida",2010-03-10,454289,3098138
"Recogida",2010-03-11,454559,3098329
"Captura",2010-03-11,455449,3098196
"Recogida",2010-03-17,456124,3096079
"Captura",2010-03-17,455335,3098193
"Captura",2010-03-17,455461,3098373
"Recogida",2010-03-17,434933.01,3111696
"Captura",2010-03-18,455069,3098144
"Recogida",2010-03-18,435126,3112249
"Recogida",2010-03-18,432231,3114294
"Recogida",2010-03-21,457613,3083958
"Captura",2010-03-22,455132,3098163
"Recogida",2010-03-22,457527,3097573
"Recogida",2010-03-22,455346,3098380
"Recogida",2010-03-22,455346,3098380
"Recogida",2010-03-23,454721,3098256.01
"Recogida",2010-03-23,455097,3098295
"Captura",2010-03-25,455177,3098172
"Captura",2010-03-26,454232,3098269
"Captura",2010-03-26,454886,3097836
"Recogida",2010-03-26,456461,3098562
"Recogida",2010-03-26,433484,3110512
"Recogida",2010-03-26,433484,3110512
"Captura",2010-03-26,455252,3098429
"Captura",2010-03-26,455258,3098425
"Captura",2010-03-26,454986,3098399
"Recogida",2010-03-29,454894,3097953.01
"Recogida",2010-03-27,458102,3104018
"Captura",2010-03-29,455252,3098439
"Recogida",2010-03-28,454849,3097841
"Recogida",2010-03-28,455241,3098407
"Recogida",2010-03-29,455345,3098416
"Captura",2010-03-29,455023,3098408
"Recogida",2010-03-28,434376,3112182
"Recogida",2010-03-30,433973,3110673
"Recogida",2010-04-03,454986,3098288
"Recogida",2010-04-04,457631,3098465
"Recogida",2010-04-05,454357,3097995.01
"Recogida",2010-04-06,454700,3098235
"Recogida",2010-04-06,454863,3097837
"Recogida",2010-04-09,434847,3112389
"Recogida",2010-04-09,454665,3098319
"Recogida",2010-04-11,455056,3098130
"Recogida",2010-04-12,454255,3098158
"Recogida",2010-04-12,454879,3097835.01
"Recogida",2010-04-08,460783,3098695
"Recogida",2010-04-09,460081,3098268
"Captura",2010-04-13,454892,3097836
"Recogida",2010-04-13,455468,3098250
"Recogida",2010-04-13,454854,3097840
"Captura",2010-04-15,454979,3097980
"Recogida",2010-04-15,455139.01,3098163
"Recogida",2010-04-15,455083,3098270
"Recogida",2010-04-16,458787,3101283
"Captura",2010-04-16,455455,3098254
"Recogida",2010-04-18,433111,3110453
"Recogida",2010-04-19,458668,3100506
"Recogida",2010-04-19,455464,3098257
